movie_id,predicted_rating
19994,3
25166,2
12120,3
9800,3
1090,2
18475,2
9781,3
8009,3
3877,3
8854,2
152599,3
68727,3
12657,2
8265,3
34647,3
28178,2
264656,3
18777,3
90,3
771,3
9576,3
744,3
146,3
14,3
45269,3
9493,3
22556,3
873,3
33196,3
205596,3
16769,3
33217,3
132232,3
11153,3
208134,3
1165,3
4011,3
17202,3
65086,2
10053,2
11870,2
11778,3
586,3
18736,2
134411,3
287903,3
9276,3
2142,3
11397,2
77016,3
11478,3
266856,3
10564,3
947,3
24150,3
228970,3
18405,3
6961,2
11442,3
2493,2
14047,3
64690,3
11132,2
17127,3
1562,3
232679,3
17880,3
14736,3
23706,3
9100,3
116,3
1245,3
4995,3
14012,3
12212,3
8975,2
342521,3
45272,3
9424,2
97367,3
254904,3
12162,3
11495,3
64689,3
157849,3
37003,3
12211,2
51828,3
22798,3
7501,3
97430,3
12257,3
14024,3
115,3
7874,3
4911,3
1988,2
16222,3
9557,3
8321,3
10186,3
25704,2
133694,3
19265,3
36047,3
8053,3
5236,3
6552,2
1018,3
42188,3
6687,3
8461,3
19,3
10045,2
400,3
253450,3
16353,3
23759,3
24206,3
10185,3
31668,3
13501,3
172391,2
137,3
264999,3
454,3
53457,3
33,3
1951,3
12405,3
10998,3
114,3
2604,3
864,3
14435,3
1931,3
691,3
9877,3
12227,3
71688,3
8291,3
13950,3
12158,3
11586,3
12403,3
34563,3
10368,3
14434,2
11470,2
24940,2
82679,2
2013,3
1440,3
18041,2
87729,3
44754,3
43949,2
142,3
10712,3
243938,2
10876,3
86838,3
613,3
1913,3
97370,3
801,3
70829,3
54518,3
44214,3
240,3
9816,3
10131,3
339984,3
8859,2
11967,3
239563,3
222899,3
4951,2
332567,2
1954,3
22345,3
9448,3
11186,2
136835,2
5876,3
264660,3
492,3
238603,2
10691,3
1251,3
5172,3
58680,2
264644,3
11592,3
16406,3
3682,3
107811,2
2266,3
144340,3
28211,3
47502,2
9950,3
84892,3
24227,3
9672,3
157544,2
59678,2
79777,3
158011,3
8952,3
62204,2
13435,3
319,3
9504,3
26688,3
6615,3
14574,3
16,3
21612,3
36691,2
23631,3
45324,3
12144,3
56601,3
9552,3
578,3
2105,2
126319,2
10136,3
67660,3
10611,3
154,3
3049,3
860,3
9281,3
75674,3
9762,3
184,3
13335,3
76726,2
10269,3
36819,3
17130,2
57214,2
11202,3
9357,3
13812,2
9030,3
19084,3
8386,2
1360,3
101267,2
222935,3
10220,3
31915,3
11601,2
205220,3
14191,3
286565,3
129670,3
34549,2
57157,2
1948,2
46889,2
387,3
60599,2
227719,3
12088,3
14799,2
7510,3
31246,2
61752,3
10944,3
10362,3
1255,3
179144,3
86825,2
844,3
38448,3
327,3
21345,3
173931,2
61984,3
50601,3
236751,2
107,3
8913,3
927,3
11,3
291870,3
907,3
45317,3
12094,2
10377,3
249164,3
9942,3
1817,2
10229,3
687,3
796,2
22804,2
10156,2
12837,3
17708,2
13937,2
28932,3
31909,2
167073,3
3175,3
14369,2
16888,2
121826,3
10646,2
12149,2
304357,3
20009,3
1587,3
30973,3
63020,3
86829,3
13888,3
42345,3
11917,2
14395,3
24137,3
62,3
601,3
13067,2
88641,2
96399,3
489,3
214,3
10890,3
1588,3
316727,3
10314,2
663,2
11804,3
16781,3
11873,3
9289,3
10414,3
1970,2
9614,3
8922,2
1648,2
17917,3
74534,3
19405,2
9355,3
10999,2
321258,3
44040,2
10426,2
280092,3
13938,3
10163,3
12182,2
1832,3
15301,3
10135,3
26352,2
20616,2
9794,3
15037,2
227,3
294272,2
11336,3
283445,3
88036,3
22824,3
11545,2
42684,2
268238,3
41823,3
9362,3
9902,2
14729,2
9455,3
103731,3
10090,2
75900,3
9515,3
328425,3
1542,2
10490,3
87093,3
10029,3
11507,3
37931,2
87818,3
88005,3
73,3
14283,3
209403,2
7942,3
73247,2
253331,3
9952,3
256924,3
